n_estimators,learning_rate,random_state,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
150.0,0.1,19421221.0,-0.3283,-0.3312,-0.3504,0.1715,0.1717,0.173,374191710597246.2,373146508711605.7,375383552920533.9,23.65
50.0,0.1,19421221.0,-0.2405,-0.2442,-0.2579,0.1657,0.1659,0.1669,341860651364892.7,340193893238974.94,342669786026853.8,17.75
100.0,0.1,19421221.0,-0.3283,-0.3312,-0.3504,0.1715,0.1717,0.173,374191710597246.2,373146508711605.7,375383552920533.9,23.62
200.0,0.1,19421221.0,-0.3283,-0.3312,-0.3504,0.1715,0.1717,0.173,374191710597246.2,373146508711605.7,375383552920533.9,23.61
150.0,0.0001,19421221.0,0.1204,0.1077,0.1146,0.1395,0.1405,0.1401,80000113970665.44,81194638399262.34,79865659292166.72,56.91
150.0,0.001,19421221.0,0.122,0.1093,0.1161,0.1394,0.1404,0.1399,90821041450921.75,92170019375404.36,90693791013529.97,57.42
150.0,0.01,19421221.0,0.0438,0.0251,0.0269,0.1455,0.1469,0.1468,205171560264539.25,205861196878428.34,205899408082976.56,55.92
150.0,1.0,19421221.0,-0.5866,-0.6111,-0.637,0.1874,0.1888,0.1904,407516614716715.56,408957518832692.5,412524877914848.7,4.18
150.0,10.0,19421221.0,-0.0232,-0.0232,-0.0232,0.1505,0.1505,0.1506,0.0226,0.0226,0.0227,0.49
150.0,100.0,19421221.0,-43.1547,-43.1592,-43.1095,0.9886,0.9886,0.9886,4401603812446604.5,4401614101784481.0,4401499071866156.5,0.42
200.0,1.0,19421221.0,-0.5866,-0.6111,-0.637,0.1874,0.1888,0.1904,407516614716715.56,408957518832692.5,412524877914848.7,4.21
100.0,0.01,19421221.0,0.0914,0.0726,0.0775,0.1418,0.1433,0.143,163897079581148.66,164610265643270.3,164466066076307.84,37.9
200.0,0.01,19421221.0,-0.0058,-0.022,-0.0241,0.1492,0.1504,0.1506,238241652331179.22,238829359301459.88,239083504884979.3,74.57
100.0,1.0,19421221.0,-0.5866,-0.6111,-0.637,0.1874,0.1888,0.1904,407516614716715.56,408957518832692.5,412524877914848.7,4.16
50.0,0.001,19421221.0,0.1207,0.1062,0.1131,0.1395,0.1406,0.1402,82783937427024.31,83833033019482.94,82443946704281.55,19.1
200.0,10.0,19421221.0,-0.0232,-0.0232,-0.0232,0.1505,0.1505,0.1506,0.0226,0.0226,0.0227,0.49
100.0,0.001,19421221.0,0.1215,0.1092,0.1151,0.1394,0.1404,0.14,86756365675362.83,87845224637265.81,86581074443092.08,38.12
200.0,0.001,19421221.0,0.1226,0.1108,0.1161,0.1394,0.1403,0.1399,94783559610921.0,96063125092162.89,94680459716411.75,76.43
50.0,1.0,19421221.0,-0.5866,-0.6111,-0.637,0.1874,0.1888,0.1904,407516614716715.56,408957518832692.5,412524877914848.7,4.56
50.0,0.01,19421221.0,0.1186,0.1014,0.1095,0.1397,0.141,0.1405,121714188765539.44,122188424805608.75,121614419810804.89,19.08
50.0,10.0,19421221.0,-0.0232,-0.0232,-0.0232,0.1505,0.1505,0.1506,0.0226,0.0226,0.0227,0.48
100.0,10.0,19421221.0,-0.0232,-0.0232,-0.0232,0.1505,0.1505,0.1506,0.0226,0.0226,0.0227,0.48
100.0,0.0001,19421221.0,0.1201,0.108,0.1141,0.1396,0.1405,0.1401,80368013476295.53,81525302609952.31,80211893277149.06,38.35
50.0,0.0001,19421221.0,0.1193,0.1067,0.1133,0.1396,0.1406,0.1402,80623740373963.03,81733595342343.75,80228114827644.67,19.3
50.0,100.0,19421221.0,-43.1547,-43.1592,-43.1095,0.9886,0.9886,0.9886,4401603812446604.5,4401614101784481.0,4401499071866156.5,0.42
200.0,100.0,19421221.0,-43.1547,-43.1592,-43.1095,0.9886,0.9886,0.9886,4401603812446604.5,4401614101784481.0,4401499071866156.5,0.42
100.0,100.0,19421221.0,-43.1547,-43.1592,-43.1095,0.9886,0.9886,0.9886,4401603812446604.5,4401614101784481.0,4401499071866156.5,0.4
200.0,0.0001,19421221.0,0.12,0.1076,0.1141,0.1396,0.1405,0.1401,80442913487441.94,81591297173811.72,80330999063932.5,76.38
