n_estimators,max_depth,random_state,ccp_alpha,max_samples,max_features,Train score,Val score,Test score,Time
50.0,5.0,19421220.0,0.0,0.5,0.5,0.4844,0.4584,0.4271,6.45
50.0,5.0,19421220.0,0.0,0.5,0.75,0.4914,0.462,0.4369,9.6
50.0,5.0,19421220.0,0.0,0.75,0.5,0.4851,0.4587,0.4302,8.56
50.0,5.0,19421220.0,0.0,0.75,0.75,0.4923,0.4568,0.4322,12.77
50.0,5.0,19421220.0,0.0001,0.5,0.5,0.4823,0.4584,0.4272,6.43
50.0,5.0,19421220.0,0.0001,0.5,0.75,0.4891,0.4612,0.4363,9.58
50.0,5.0,19421220.0,0.0001,0.75,0.5,0.4811,0.4579,0.4292,8.56
50.0,5.0,19421220.0,0.0001,0.75,0.75,0.4886,0.4559,0.4313,12.78
50.0,5.0,19421220.0,0.01,0.5,0.5,0.194,0.197,0.1945,6.43
50.0,5.0,19421220.0,0.01,0.5,0.75,0.2182,0.2222,0.2195,9.58
50.0,5.0,19421220.0,0.01,0.75,0.5,0.191,0.1944,0.1916,8.56
50.0,5.0,19421220.0,0.01,0.75,0.75,0.2153,0.2196,0.2162,12.77
50.0,5.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,6.43
50.0,5.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,9.59
50.0,5.0,19421220.0,1.0,0.75,0.5,-0.0,-0.0,-0.0,8.56
50.0,5.0,19421220.0,1.0,0.75,0.75,-0.0,-0.0,-0.0,12.77
50.0,5.0,19421220.0,100.0,0.5,0.5,-0.0,-0.0,-0.0,6.43
50.0,5.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,9.59
50.0,5.0,19421220.0,100.0,0.75,0.5,-0.0,-0.0,-0.0,8.56
50.0,5.0,19421220.0,100.0,0.75,0.75,-0.0,-0.0,-0.0,12.77
50.0,5.0,19421220.0,10000.0,0.5,0.5,-0.0,-0.0,-0.0,6.43
50.0,5.0,19421220.0,10000.0,0.5,0.75,-0.0,-0.0,-0.0,9.59
50.0,5.0,19421220.0,10000.0,0.75,0.5,-0.0,-0.0,-0.0,8.56
50.0,5.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,12.77
50.0,10.0,19421220.0,0.0,0.5,0.5,0.6626,0.4817,0.4504,12.38
50.0,10.0,19421220.0,0.0,0.5,0.75,0.6638,0.4831,0.4488,18.49
50.0,10.0,19421220.0,0.0,0.75,0.5,0.6942,0.4856,0.4516,16.61
50.0,10.0,19421220.0,0.0,0.75,0.75,0.6933,0.4794,0.452,24.74
50.0,10.0,19421220.0,0.0001,0.5,0.5,0.5799,0.4826,0.4543,12.39
50.0,10.0,19421220.0,0.0001,0.5,0.75,0.586,0.4856,0.4526,18.49
50.0,10.0,19421220.0,0.0001,0.75,0.5,0.5652,0.4827,0.4517,16.57
50.0,10.0,19421220.0,0.0001,0.75,0.75,0.5719,0.4794,0.4501,24.75
50.0,10.0,19421220.0,0.01,0.5,0.5,0.194,0.197,0.1945,12.39
