Ranking,Player,Votes
1,Clayton Oliver,32
2,Patrick Cripps,28
3,Lachie Neale,22
4,Jeremy Cameron,21
5,Touk Miller,21
6,Christian Petracca,20
7,Charlie Curnow,20
8,Rory Laird,20
9,Darcy Parish,19
10,Sam Walsh,17
11,Chad Warner,17
12,Andrew Brayshaw,16
13,Stephen Coniglio,16
14,Zachary Merrett,16
15,Bailey Smith,14
16,Brad Crouch,13
17,Taylor Walker,13
18,Hugh McCluggage,13
19,Joshua Kelly,12
20,Thomas Liberatore,12
21,Tom Hawkins,12
22,Shai Bolton,12
23,Tom Lynch,12
24,Dion Prestia,11
25,Max King,11
26,Nick Larkey,11
27,Callum Mills,11
28,Josh Dunkley,11
29,Luke Parker,10
30,Tim Taranto,10
31,Daniel Rich,10
32,Karl Amon,10
33,Will Brodie,10
34,Todd Marshall,9
35,Aaron Naughton,9
36,Mitchell Lewis,9
37,Peter Wright,9
38,Jack Higgins,9
39,Marcus Bontempelli,9
40,Connor Rozee,9
41,Oliver Wines,9
42,Ben Keays,8
43,George Hewett,8
44,Patrick Lipinski,8
45,Cameron Guthrie,8
46,Jade Gresham,8
47,Max Gawn,8
48,Dylan Shiel,8
49,Caleb Serong,8
50,Jordan Dawson,8
51,Isaac Heeney,8
52,Jack Sinclair,8
53,Tom Mitchell,8
54,Travis Boak,8
55,Jack Gunston,8
56,Ed Langdon,8
57,Jy Simpkin,7
58,Luke D-Uniacke,7
59,Izak Rankine,7
60,Jackson Macrae,7
61,Thomas Stewart,7
62,Liam Baker,7
63,Harry McKay,7
64,Josh Daicos,7
65,Lance Franklin,6
66,Adam Treloar,6
67,Jamie Cripps,6
68,Bailey Dale,6
69,Aaron Hall,6
70,Jesse Hogan,6
71,Patrick Dangerfield,6
72,Nick Daicos,6
73,Jarryd Lyons,6
74,Dan Houston,5
75,Jordan De Goey,5
76,Matt Rowell,5
77,Jai Newcombe,5
78,Sebastian Ross,5
79,Cameron Zurhaar,5
80,Mitchell Duncan,5
81,Noah Anderson,5
82,Jeremy Finlayson,5
83,Jake Stringer,5
84,Errol Gulden,5
85,Joshua Kennedy,5
86,Zac Bailey,5
87,Blake Acres,5
88,Trent Cotchin,5
89,David Swallow,5
90,Zach Tuohy,5
91,Brandan Parfitt,4
92,Jake Lloyd,4
93,Lachlan Schultz,4
94,Jake Melksham,4
95,Nick Hind,4
96,Tim Kelly,4
97,Daniel Butler,4
98,Nicholas Martin,3
